Title,Date,Url,Author
Mechanisms of non-factual hallucinations in language models,2024-03-26,http://arxiv.org/abs/2403.18167,Lei Yu; Meng Cao; Jackie Chi Kit Cheung; Yue Dong
Unfamiliar Finetuning Examples Control How Language Models Hallucinate,2024-03-08,http://arxiv.org/abs/2403.05612,Katie Kang; Eric Wallace; Claire Tomlin; Aviral Kumar; Sergey Levine
In-Context Sharpness as Alerts: An Inner Representation Perspective for Hallucination Mitigation,2024-03-05,http://arxiv.org/abs/2403.01548,Shiqi Chen; Miao Xiong; Junteng Liu; Zhengxuan Wu; Teng Xiao; Siyang Gao; Junxian He
Calibrated Language Models Must Hallucinate,2023-11-24,http://arxiv.org/abs/2311.14648,Adam Tauman Kalai; Santosh S. Vempala
The Curious Case of Hallucinatory Unanswerablity: Finding Truths in the Hidden States of Over-Confident Large Language Models,2023-10-18,http://arxiv.org/abs/2310.11877,Aviv Slobodkin; Omer Goldman; Avi Caciularu; Ido Dagan; Shauli Ravfogel
Does Fine-Tuning LLMs on New Knowledge Encourage Hallucinations?,2024-05-09,http://arxiv.org/abs/2405.05904,Zorik Gekhman; Gal Yona; Roee Aharoni; Matan Eyal; Amir Feder; Roi Reichart; Jonathan Herzig
Estimating the Hallucination Rate of Generative AI,2024-06-11,http://arxiv.org/abs/2406.07457,Andrew Jesson; Nicolas Beltran-Velez; Quentin Chu; Sweta Karlekar; Jannik Kossen; Yarin Gal; John P. Cunningham; David Blei
Shared Imagination: LLMs Hallucinate Alike,2024-07-23,http://arxiv.org/abs/2407.16604,Yilun Zhou; Caiming Xiong; Silvio Savarese; Chien-Sheng Wu
No Free Lunch: Fundamental Limits of Learning Non-Hallucinating Generative Models,2024-10-24,http://arxiv.org/abs/2410.19217,Changlong Wu; Ananth Grama; Wojciech Szpankowski
On the Limits of Language Generation: Trade-Offs Between Hallucination and Mode Collapse,2024-11-14,http://arxiv.org/abs/2411.09642,Alkis Kalavasis; Anay Mehrotra; Grigoris Velegkas
"Statistically Meaningful Geometry (SMG) Beyond the Euclidean Paradigm, with Application to Generative AI",2026-07-03,http://arxiv.org/abs/2607.03329v1,Bing Cheng;Yi-Shuai Niu;Howell Tong;Shing-Tung Yau
Statistically Meaningful Geometry and Gauge Symmetry Breaking: A Geometric Foundation for Scientific Discovery and Intelligence Emergence,2026-07-03,http://arxiv.org/abs/2607.05436v1,Bing Cheng;Yi-Shuai Niu;Howell Tong;Shing-Tung Yau
Delayed Verification Destabilizes Multi-Agent LLM Belief: Instability Thresholds and Optimal Corrector Placement,2026-06-25,http://arxiv.org/abs/2606.27409v1,Igor Itkin
Pre-Generation Hallucination Detection in Large Language Models via Soft-Target Attention Probing,2026-06-20,http://arxiv.org/abs/2606.21917v1,Amina Miftakhova;Alexey Zaytsev

Quickest Detection of Hallucination Onset: Delay Bounds and Learned CUSUM Statistics,2026-06-10,http://arxiv.org/abs/2606.12476v3,Igor Itkin

How Many Counterfactuals Does It Take? Probing VLM Hallucinations Through Circuits and Causal Effects,2026-06-07,http://arxiv.org/abs/2606.08777v1,Abhivansh Gupta;Simardeep Singh;Advika Sinha;Shreyansh Modi;Akshat Tomar

Analyzing the Correlation Between Hallucinations and Knowledge Conflicts in Large Language Models,2026-06-07,http://arxiv.org/abs/2606.08705v1,Lucrezia Laraspata;Giovanna Castellano;Gennaro Vessio

DECK: A Consistency x Confidence Taxonomy of LLM Hallucinations,2026-06-01,http://arxiv.org/abs/2606.02289v1,Mohit Singh Chauhan
