Title,Date,Url,Author

What needs to go right for an induction head? A mechanistic study of in-context learning circuits and their formation,2024-04-10,http://arxiv.org/abs/2404.07129,"Singh, Aaditya K.; Moskovitz, Ted; Hill, Felix; Chan, Stephanie C. Y.; Saxe, Andrew M."

Is attention required for ICL? Exploring the Relationship Between Model Architecture and In-Context Learning Ability,2024-04-01,http://arxiv.org/abs/2310.08049,"Lee, Ivan; Jiang, Nan; Berg-Kirkpatrick, Taylor"

"Training Dynamics of Multi-Head Softmax Attention for In-Context Learning: Emergence, Convergence, and Optimality",2024-02-29,http://arxiv.org/abs/2402.19442,"Chen, Siyu; Sheen, Heejune; Wang, Tianhao; Yang, Zhuoran"

How Transformers Learn Causal Structure with Gradient Descent,2024-02-22,http://arxiv.org/abs/2402.14735,"Nichani, Eshaan; Damian, Alex; Lee, Jason D."

In-Context Learning of a Linear Transformer Block: Benefits of the MLP Component and One-Step GD Initialization,2024-02-22,http://arxiv.org/abs/2402.14951,"Zhang, Ruiqi; Wu, Jingfeng; Bartlett, Peter L."

Identifying Semantic Induction Heads to Understand In-Context Learning,2024-02-20,http://arxiv.org/abs/2402.13055,"Ren, Jie; Guo, Qipeng; Yan, Hang; Liu, Dongrui; Qiu, Xipeng; Lin, Dahua"

The Transient Nature of Emergent In-Context Learning in Transformers,2023-12-11,http://arxiv.org/abs/2311.08360,"Singh, Aaditya K.; Chan, Stephanie C. Y.; Moskovitz, Ted; Grant, Erin; Saxe, Andrew M.; Hill, Felix"

In-Context Learning Functions with Varying Number of Minima,2023-11-21,http://arxiv.org/abs/2311.12538,"Oniani, David; Wang, Yanshan"

Exploring the Relationship between In-Context Learning and Instruction Tuning,2023-11-17,http://arxiv.org/abs/2311.10367,"Duan, Hanyu; Tang, Yixuan; Yang, Yi; Abbasi, Ahmed; Tam, Kar Yan"

When does In-context Learning Fall Short and Why? A Study on Specification-Heavy Tasks,2023-11-15,http://arxiv.org/abs/2311.08993,"Peng, Hao; Wang, Xiaozhi; Chen, Jianhui; Li, Weikai; Qi, Yunjia; Wang, Zimu; Wu, Zhili; Zeng, Kaisheng; Xu, Bin; Hou, Lei; Li, Juanzi"

"In-context Learning Generalizes, But Not Always Robustly: The Case of Syntax",2023-11-13,http://arxiv.org/abs/2311.07811,"Mueller, Aaron; Webson, Albert; Petty, Jackson; Linzen, Tal"

Transformers learn to implement preconditioned gradient descent for in-context learning,2023-11-09,http://arxiv.org/abs/2306.00297,"Ahn, Kwangjun; Cheng, Xiang; Daneshmand, Hadi; Sra, Suvrit"

In-Context Learning Creates Task Vectors,2023-10-24,http://arxiv.org/abs/2310.15916,"Hendel, Roee; Geva, Mor; Globerson, Amir"

Function Vectors in Large Language Models,2023-10-23,http://arxiv.org/abs/2310.15213,"Todd, Eric; Li, Millicent L.; Sharma, Arnab Sen; Mueller, Aaron; Wallace, Byron C.; Bau, David"

